code,name,close,차트점수,5일변화율(%),20일변화율(%),거래대금(원),20일선위,60일선위,거래량증가,고점근접,양봉마감,상단압박,scan_tag,candidate_source,scan_priority,entry1,entry2,stop_calc,target1,target2,risk,rr,entry_gap_pct,entry_status,entry_comment,status_order
308430,셀비온,30900,7,15.08,-21.57,11087105400,1,1,1,0,1,0,5.1_swing,all_fallback,3,30127.5,29509.5,28624.22,32290.5,33681.0,1503.28,1.44,2.5,WATCH,관찰 필요,1
204620,글로벌텍스프리,4830,7,13.65,-6.21,10901314830,1,1,1,0,1,0,5.1_swing,all_fallback,3,4709.25,4612.65,4474.27,5047.35,5264.7,234.98,1.44,2.5,WATCH,관찰 필요,1
475960,토모큐브,59300,7,8.61,7.23,9587327500,1,1,0,0,1,0,5.1_swing,all_fallback,3,57817.5,56631.5,54932.56,61968.5,64637.0,2884.94,1.44,2.5,WATCH,관찰 필요,1
5440,현대지에프홀딩스,15630,7,7.05,7.79,8918384220,1,1,0,0,1,0,5.1_swing,all_fallback,3,15239.25,14926.65,14478.85,16333.35,17036.7,760.4,1.44,2.5,WATCH,관찰 필요,1
4140,동방,2930,7,11.2,9.74,7811561660,1,1,0,0,1,0,5.1_swing,all_fallback,3,2856.75,2798.15,2714.21,3061.85,3193.7,142.54,1.44,2.5,WATCH,관찰 필요,1
670,영풍,60200,7,15.33,1.35,7407730400,1,1,1,0,1,0,5.1_swing,all_fallback,3,58695.0,57491.0,55766.27,62909.0,65618.0,2928.73,1.44,2.5,WATCH,관찰 필요,1
32190,다우데이타,25900,7,7.69,-5.99,7343478800,1,1,1,0,1,0,5.1_swing,all_fallback,3,25252.5,24734.5,23992.47,27065.5,28231.0,1260.03,1.44,2.5,WATCH,관찰 필요,1
365330,에스와이스틸텍,3710,7,9.12,-6.08,5316352090,1,1,1,0,1,0,5.1_swing,all_fallback,3,3617.25,3543.05,3436.76,3876.95,4043.9,180.49,1.44,2.5,WATCH,관찰 필요,1
460860,동국제강,9900,7,6.8,13.92,3389522400,1,1,0,0,1,0,5.1_swing,all_fallback,3,9652.5,9454.5,9170.86,10345.5,10791.0,481.64,1.44,2.5,WATCH,관찰 필요,1
47050,포스코인터내셔널,77000,8,4.48,11.27,132738683000,1,1,1,0,1,0,5.0_stable,all_fallback,4,75845.0,74690.0,72449.3,80465.0,83930.0,3395.7,1.36,1.5,WATCH,관찰 필요,1
13030,하이록코리아,38000,8,1.6,8.11,5295452000,1,1,1,0,1,0,5.1_swing,all_fallback,3,37430.0,36860.0,35754.2,39710.0,41420.0,1675.8,1.36,1.5,WATCH,관찰 필요,1
94820,일진파워,18990,7,-0.63,-3.6,32674991580,1,1,1,0,1,0,5.1_swing,all_fallback,3,18705.15,18420.3,17867.69,19844.55,20699.1,837.46,1.36,1.5,WATCH,관찰 필요,1
