code,name,close,차트점수,5일변화율(%),20일변화율(%),거래대금(원),20일선위,60일선위,거래량증가,고점근접,양봉마감,상단압박,scan_tag,candidate_source,scan_priority
80580,오킨스전자,19520,9,0.98,30.92,11831306240,1,1,0,1,1,1,5.1_swing,all_fallback,3
82640,동양생명,8650,7,4.34,18.01,6082532950,1,1,0,0,1,0,5.1_swing,all_fallback,3
83450,GST,30950,7,5.09,6.17,8430253850,1,1,0,0,1,0,5.1_swing,all_fallback,3
83650,비에이치아이,105600,0,5.18,42.9,37466352000,0,0,0,0,0,0,7.0_early,all_fallback,1
84370,유진테크,129300,7,4.11,27.77,34219891500,1,1,0,0,1,0,5.1_swing,all_fallback,3
85910,네오티스,19650,8,9.17,53.4,10531869450,1,1,1,0,1,0,5.1_swing,all_fallback,3
87010,펩트론,328000,9,8.61,31.99,67703464000,1,1,0,1,1,1,5.1_swing,all_fallback,3
88350,한화생명,5250,7,2.94,16.8,158239179000,1,1,0,0,1,0,5.1_swing,all_fallback,3
89890,코세스,28050,7,9.36,24.67,6190466700,1,1,0,0,0,1,5.1_swing,all_fallback,3
89970,브이엠,45900,0,14.75,31.9,36097137000,0,0,0,0,0,0,7.0_early,all_fallback,1
89980,상아프론테크,25050,0,14.65,44.88,8196760800,0,0,0,0,0,0,7.0_early,all_fallback,1
900290,GRT,6000,7,-15.73,50.94,6557106000,1,1,1,0,0,0,5.1_swing,all_fallback,3
90460,비에이치,19500,0,10.73,-10.96,7890012000,0,0,0,0,0,0,7.0_early,all_fallback,1
9150,삼성전기,464000,0,14.29,45.23,391171488000,0,0,0,0,0,0,7.0_early,all_fallback,1
9155,삼성전기우,187700,0,14.17,46.99,8735933400,0,0,0,0,0,0,7.0_early,all_fallback,1
92870,엑시콘,31850,7,5.46,13.55,12841091900,1,1,0,0,1,0,5.1_swing,all_fallback,3
9420,한올바이오파마,57400,7,0.0,6.1,19478977000,1,1,0,0,1,0,5.1_swing,all_fallback,3
950160,코오롱티슈진,100700,0,1.92,7.93,30435165200,0,0,0,0,0,0,7.0_early,all_fallback,1
97230,HJ중공업,27600,0,13.58,15.72,76260842400,0,0,0,0,0,0,7.0_early,all_fallback,1
98070,한텍,42200,10,11.94,16.25,10940223400,1,1,1,1,1,1,5.1_swing,all_fallback,3
99320,쎄트렉아이,193200,7,1.31,8.05,28460678400,1,1,0,0,1,0,5.1_swing,all_fallback,3
9970,영원무역홀딩스,237500,5,3.04,-1.86,5509287500,0,0,0,0,0,0,6.0_force,all_fallback,2
