스캐너,파일종류,종목코드,종목명,전일종가,금일종가,장중최대상승률(%),종가수익률(%)
5.0_stable,all,425420,티에프이,60700,67500,12.19,11.2
5.0_stable,all,050890,쏠리드,12900,13120,15.74,1.71
5.0_stable,all,356860,티엘비,79800,78100,0.88,-2.13
5.0_stable,all,015750,성우하이텍,9200,9490,3.59,3.15
5.0_stable,all,090460,비에이치,19880,22150,11.67,11.42
5.0_stable,all,448900,한국피아이엠,118500,120700,3.12,1.86
5.0_stable,all,389650,넥스트바이오메디컬,76000,79300,5.26,4.34
5.0_stable,all,006910,보성파워텍,12120,12850,11.55,6.02
5.0_stable,all,105840,우진,26150,31200,21.22,19.31
5.0_stable,all,327260,RF머트리얼즈,60500,73900,25.54,22.15
5.0_stable,all,122640,예스티,24650,28800,19.68,16.84
5.0_stable,all,003000,부광약품,6100,5990,4.92,-1.8
5.0_stable,all,234340,헥토파이낸셜,38550,40000,8.56,3.76
5.0_stable,all,098070,한텍,44600,47900,10.87,7.4
5.0_stable,all,215600,신라젠,3430,3590,11.52,4.66
5.0_stable,all,033640,네패스,17980,21050,19.58,17.07
5.0_stable,all,441270,파인엠텍,10650,11560,10.52,8.54
5.0_stable,all,046120,오르비텍,10980,13700,26.41,24.77
5.0_stable,all,394280,오픈엣지테크놀로지,15960,16900,7.27,5.89
5.0_stable,all,290550,디케이티,19490,21800,17.24,11.85
5.0_stable,all,389260,대명에너지,20700,23350,17.87,12.8
5.0_stable,all,033160,엠케이전자,17710,18070,11.74,2.03
5.0_stable,all,138080,오이솔루션,31600,33900,9.02,7.28
5.0_stable,all,200470,에이팩트,7940,8650,15.62,8.94
5.0_stable,all,230240,에치에프알,25500,27000,7.45,5.88
5.0_stable,all,073490,이노와이어리스,39900,42350,10.03,6.14
5.0_stable,all,042370,비츠로테크,11160,11980,16.04,7.35
5.0_stable,all,005010,휴스틸,5240,5500,6.87,4.96
5.0_stable,all,117580,대성에너지,10890,11140,10.01,2.3
5.1_swing,all,034020,두산에너빌리티,106300,109600,5.46,3.1
5.1_swing,all,006800,미래에셋증권,66700,67700,4.05,1.5
5.1_swing,all,009150,삼성전기,479500,464500,1.88,-3.13
5.1_swing,all,047810,한국항공우주,190400,185700,0.47,-2.47
5.1_swing,all,079550,LIG넥스원,702000,661000,-0.71,-5.84
5.1_swing,all,278470,에이피알,369000,359500,2.17,-2.57
5.1_swing,all,950160,코오롱티슈진,97200,98200,2.47,1.03
5.1_swing,all,087010,펩트론,317500,346000,13.07,8.98
5.1_swing,all,141080,리가켐바이오,199900,213000,9.05,6.55
5.1_swing,all,310210,보로노이,320000,324500,4.69,1.41
5.1_swing,all,240810,원익IPS,120900,125000,4.63,3.39
5.1_swing,all,263750,펄어비스,46000,41500,-2.39,-9.78
5.1_swing,all,489790,한화비전,87200,87400,2.41,0.23
5.1_swing,all,012510,더존비즈온,119100,119300,0.25,0.17
5.1_swing,all,440110,파두,57000,59200,5.96,3.86
5.1_swing,all,353200,대덕전자,77300,82800,11.64,7.12
5.1_swing,all,00680K,미래에셋증권2우B,20200,21600,7.43,6.93
5.1_swing,all,010060,OCI홀딩스,198200,203000,15.04,2.42
5.1_swing,all,178320,서진시스템,45400,48000,9.25,5.73
5.1_swing,all,064760,티씨케이,242500,253000,5.77,4.33
5.1_swing,all,347700,스피어,45850,44750,0.98,-2.4
5.1_swing,all,005440,현대지에프홀딩스,14960,15630,5.08,4.48
5.1_swing,all,017960,한국카본,48350,49800,5.07,3.0
5.1_swing,all,089030,테크윙,58500,58000,2.56,-0.85
5.1_swing,all,031980,피에스케이홀딩스,106800,111400,6.27,4.31
5.1_swing,all,222800,심텍,60100,62500,5.66,3.99
5.1_swing,all,001120,LX인터내셔널,44500,47150,7.53,5.96
5.1_swing,all,078600,대주전자재료,119700,126200,8.02,5.43
5.1_swing,all,456160,지투지바이오,86900,89200,3.8,2.65
5.1_swing,all,127120,제이에스링크,39250,40200,4.33,2.42
5.1_swing,all,004000,롯데정밀화학,54200,52700,4.98,-2.77
5.1_swing,all,389470,인벤티지랩,78800,79900,3.68,1.4
5.1_swing,all,089970,브이엠,48800,47650,-1.43,-2.36
5.1_swing,all,126340,비나텍,139400,143700,7.39,3.08
5.1_swing,all,074600,원익QnC,33750,33900,4.3,0.44
5.1_swing,all,420770,기가비스,78400,78700,3.19,0.38
5.1_swing,all,348210,넥스틴,80000,79400,1.75,-0.75
5.1_swing,all,102940,코오롱생명과학,58300,57300,1.54,-1.72
5.1_swing,all,083450,GST,30000,30100,0.83,0.33
5.1_swing,all,194480,데브시스터즈,40500,40000,1.73,-1.23
5.1_swing,all,309710,아이티켐,35150,34900,1.42,-0.71
5.1_swing,all,110990,디아이티,21750,21700,2.3,-0.23
5.1_swing,all,025860,남해화학,8520,8320,0.35,-2.35
5.1_swing,all,010820,퍼스텍,7470,7060,-0.94,-5.49
5.1_swing,all,005010,휴스틸,5240,5500,6.87,4.96
5.1_swing,all,044450,KSS해운,10540,10900,3.98,3.42
5.1_swing,all,091580,상신이디피,17510,18500,8.34,5.65
5.1_swing,all,000440,중앙에너비스,29650,28100,-0.67,-5.23
5.1_swing,all,005860,한일사료,4000,3965,1.12,-0.88
5.1_swing,all,065450,빅텍,4920,4845,2.03,-1.52
5.1_swing,all,004140,동방,2800,2930,4.82,4.64
5.1_swing,all,024740,한일단조,3160,3030,-1.9,-4.11
5.1_swing,all,448710,코츠테크놀로지,19550,19170,0.0,-1.94
5.1_swing,all,006890,태경케미컬,8660,8600,4.73,-0.69
5.1_swing,all,005935,삼성전자우,144200,139200,0.83,-3.47
5.1_swing,all,034020,두산에너빌리티,106300,109600,5.46,3.1
5.1_swing,all,009150,삼성전기,479500,464500,1.88,-3.13
5.1_swing,all,010120,LS ELECTRIC,873000,886000,3.89,1.49
5.1_swing,all,000250,삼천당제약,795000,907000,20.13,14.09
5.1_swing,all,017670,SK텔레콤,78200,78800,1.02,0.77
5.1_swing,all,298380,에이비엘바이오,190000,190500,2.53,0.26
5.1_swing,all,009830,한화솔루션,49750,51700,14.17,3.92
5.1_swing,all,087010,펩트론,317500,346000,13.07,8.98
5.1_swing,all,310210,보로노이,320000,324500,4.69,1.41
5.1_swing,all,263750,펄어비스,46000,41500,-2.39,-9.78
5.1_swing,all,012510,더존비즈온,119100,119300,0.25,0.17
5.1_swing,all,353200,대덕전자,77300,82800,11.64,7.12
5.1_swing,all,083650,비에이치아이,104300,109500,7.86,4.99
5.1_swing,all,440110,파두,57000,59200,5.96,3.86
5.1_swing,all,178320,서진시스템,45400,48000,9.25,5.73
5.1_swing,all,347700,스피어,45850,44750,0.98,-2.4
5.1_swing,all,222800,심텍,60100,62500,5.66,3.99
5.1_swing,all,039200,오스코텍,57500,56000,2.61,-2.61
5.1_swing,all,090710,휴림로봇,14330,14020,4.68,-2.16
5.1_swing,all,004000,롯데정밀화학,54200,52700,4.98,-2.77
5.1_swing,all,295310,에이치브이엠,92200,92300,1.19,0.11
5.1_swing,all,183300,코미코,118900,120300,3.95,1.18
5.1_swing,all,003160,디아이,38450,38750,1.43,0.78
5.1_swing,all,089970,브이엠,48800,47650,-1.43,-2.36
5.1_swing,all,074600,원익QnC,33750,33900,4.3,0.44
5.1_swing,all,005880,대한해운,2235,2350,6.94,5.15
5.1_swing,all,365340,성일하이텍,57800,59300,4.84,2.6
5.1_swing,all,425420,티에프이,60700,67500,12.19,11.2
5.1_swing,all,046890,서울반도체,11150,10560,0.81,-5.29
5.1_swing,all,234340,헥토파이낸셜,38550,40000,8.56,3.76
5.1_swing,all,122640,예스티,24650,28800,19.68,16.84
5.1_swing,all,107640,한중엔시에스,51700,52500,4.45,1.55
5.1_swing,all,327260,RF머트리얼즈,60500,73900,25.54,22.15
5.1_swing,all,065660,안트로젠,43900,42250,-0.46,-3.76
5.1_swing,all,031430,신세계인터내셔날,12160,12350,2.55,1.56
5.1_swing,all,025860,남해화학,8520,8320,0.35,-2.35
5.1_swing,all,098070,한텍,44600,47900,10.87,7.4
5.1_swing,all,290550,디케이티,19490,21800,17.24,11.85
5.1_swing,all,024060,흥구석유,20950,19540,1.43,-6.73
5.1_swing,all,000390,삼화페인트,10550,10140,6.82,-3.89
5.1_swing,all,322310,오로스테크놀로지,33000,33050,5.3,0.15
5.1_swing,all,117580,대성에너지,10890,11140,10.01,2.3
5.1_swing,all,112290,와이씨켐,26800,26650,1.87,-0.56
5.1_swing,all,361390,제노코,29100,29600,5.33,1.72
5.1_swing,all,418550,제이오,7920,8220,5.68,3.79
5.1_swing,all,289930,웨이비스,19900,18690,2.51,-6.08
5.1_swing,all,199820,제일일렉트릭,11510,11840,5.04,2.87
5.1_swing,all,091580,상신이디피,17510,18500,8.34,5.65
5.1_swing,all,321550,티움바이오,8550,10070,22.81,17.78
5.1_swing,all,380540,옵티코어,4120,4140,6.19,0.49
5.1_swing,all,232680,라온로보틱스,15880,15880,1.13,0.0
5.1_swing,all,000440,중앙에너비스,29650,28100,-0.67,-5.23
5.1_swing,all,005860,한일사료,4000,3965,1.12,-0.88
5.1_swing,all,039560,다산네트웍스,4325,4990,20.23,15.38
5.1_swing,all,225190,LK삼양,2190,2125,3.88,-2.97
5.1_swing,all,083500,에프엔에스테크,16520,16560,1.03,0.24
5.1_swing,all,005930,삼성전자,200500,199400,1.0,-0.55
5.1_swing,all,000660,SK하이닉스,1013000,1007000,1.28,-0.59
5.1_swing,all,005935,삼성전자우,144200,139200,0.83,-3.47
5.1_swing,all,005380,현대차,522000,517000,1.15,-0.96
5.1_swing,all,402340,SK스퀘어,611000,608000,1.15,-0.49
5.1_swing,all,034020,두산에너빌리티,106300,109600,5.46,3.1
5.1_swing,all,000270,기아,170500,168500,1.17,-1.17
5.1_swing,all,032830,삼성생명,230500,231500,0.65,0.43
5.1_swing,all,006400,삼성SDI,402500,400500,1.12,-0.5
5.1_swing,all,042700,한미반도체,307000,309500,3.75,0.81
5.1_swing,all,272210,한화시스템,141000,136000,-0.35,-3.55
5.1_swing,all,298040,효성중공업,2693000,2735000,3.12,1.56
5.1_swing,all,000150,두산,1149000,1186000,4.61,3.22
5.1_swing,all,000250,삼천당제약,795000,907000,20.13,14.09
5.1_swing,all,017670,SK텔레콤,78200,78800,1.02,0.77
5.1_swing,all,039490,키움증권,449000,460500,5.01,2.56
5.1_swing,all,005940,NH투자증권,33400,35600,7.19,6.59
5.1_swing,all,298380,에이비엘바이오,190000,190500,2.53,0.26
5.1_swing,all,005387,현대차2우B,270500,264500,0.55,-2.22
5.1_swing,all,016360,삼성증권,98600,102300,4.56,3.75
5.1_swing,all,058470,리노공업,117100,111700,0.34,-4.61
5.1_swing,all,006260,LS,290500,303500,7.4,4.48
5.1_swing,all,443060,HD현대마린솔루션,178200,182700,4.26,2.53
5.1_swing,all,087010,펩트론,317500,346000,13.07,8.98
5.1_swing,all,005385,현대차우,269000,265000,1.3,-1.49
5.1_swing,all,011070,LG이노텍,286000,296000,4.55,3.5
5.1_swing,all,271560,오리온,130600,137800,5.51,5.51
5.1_swing,all,039030,이오테크닉스,412500,429500,8.73,4.12
5.1_swing,all,036570,엔씨소프트,221000,228000,5.43,3.17
5.1_swing,all,062040,산일전기,151700,159200,4.94,4.94
5.1_swing,all,088350,한화생명,4930,5230,6.49,6.09
5.1_swing,all,489790,한화비전,87200,87400,2.41,0.23
5.1_swing,all,263750,펄어비스,46000,41500,-2.39,-9.78
5.1_swing,all,103590,일진전기,82100,82600,1.95,0.61
5.1_swing,all,012510,더존비즈온,119100,119300,0.25,0.17
5.1_swing,all,011780,금호석유화학,134200,131900,2.09,-1.71
5.1_swing,all,011170,롯데케미칼,82400,84200,5.7,2.18
5.1_swing,all,357780,솔브레인,422000,428000,4.27,1.42
5.1_swing,all,145020,휴젤,262000,267000,2.67,1.91
5.1_swing,all,237690,에스티팜,149500,150800,2.14,0.87
5.1_swing,all,440110,파두,57000,59200,5.96,3.86
5.1_swing,all,009420,한올바이오파마,55500,56500,2.7,1.8
5.1_swing,all,084370,유진테크,131900,129400,1.21,-1.9
5.1_swing,all,036930,주성엔지니어링,61000,72800,28.69,19.34
5.1_swing,all,475830,오름테라퓨틱,124900,126300,3.44,1.12
5.1_swing,all,051600,한전KPS,61400,67500,12.38,9.93
5.1_swing,all,064760,티씨케이,242500,253000,5.77,4.33
5.1_swing,all,017960,한국카본,48350,49800,5.07,3.0
5.1_swing,all,031980,피에스케이홀딩스,106800,111400,6.27,4.31
5.1_swing,all,067310,하나마이크론,33500,34750,5.52,3.73
5.1_swing,all,222800,심텍,60100,62500,5.66,3.99
5.1_swing,all,099320,쎄트렉아이,186200,176100,0.43,-5.42
5.1_swing,all,375500,DL이앤씨,51900,67400,29.87,29.87
5.1_swing,all,120110,코오롱인더,70500,70100,2.84,-0.57
5.1_swing,all,038500,삼표시멘트,17300,17370,1.91,0.4
5.1_swing,all,078600,대주전자재료,119700,126200,8.02,5.43
5.1_swing,all,003380,하림지주,15100,17700,20.53,17.22
5.1_swing,all,298020,효성티앤씨,388500,367000,2.96,-5.53
5.1_swing,all,174900,앱클론,79800,78300,2.38,-1.88
5.1_swing,all,048410,현대바이오,15240,14700,1.05,-3.54
5.1_swing,all,004000,롯데정밀화학,54200,52700,4.98,-2.77
