등급,시장,종목코드,종목명,현재가,5일변화율(%),20일변화율(%),거래대금(원),차트점수,매집점수,돌파점수,총점,기준일자
A,KOSPI,051600,한전KPS,67500,12.13,8.87,89645737500,8,4,5,17,20260320
B,KOSPI,00680K,미래에셋증권2우B,21600,0.47,-2.63,19926842400,5,4,3,12,20260320
B,KOSDAQ,064760,티씨케이,253000,8.82,17.13,24101792000,7,3,4,14,20260320
A,KOSDAQ,178320,서진시스템,48000,4.58,20.15,238945104000,8,4,5,17,20260320
B,KOSPI,112610,씨에스윈드,66100,19.31,31.15,77851059700,6,3,5,14,20260320
B,KOSPI,139480,이마트,100700,7.47,-9.69,40205784100,5,4,3,12,20260320
B,KOSPI,336260,두산퓨얼셀,41900,-9.01,14.17,106926495500,6,4,4,14,20260320
A,KOSPI,006360,GS건설,31800,38.26,42.28,302792890200,7,3,5,15,20260320
A,KOSPI,375500,DL이앤씨,67400,37.41,34.26,217024360400,7,3,5,15,20260320
B,KOSPI,017960,한국카본,49800,6.98,35.51,19865120400,7,2,5,14,20260320
A,KOSPI,097230,HJ중공업,28450,5.76,11.57,113775305400,8,4,5,17,20260320
B,KOSDAQ,319660,피에스케이,86400,34.79,37.58,37386489600,6,3,5,14,20260320
A,KOSDAQ,222800,심텍,62500,20.42,21.36,68298562500,7,4,5,16,20260320
B,KOSPI,007340,DN오토모티브,39750,44.02,27.4,14443520250,6,3,5,14,20260320
A,KOSDAQ,458870,씨어스테크놀로지,182900,13.89,22.1,60750417900,7,4,4,15,20260320
A,KOSPI,192820,코스맥스,196100,10.67,-1.95,59793047100,7,4,4,15,20260320
A,KOSDAQ,039200,오스코텍,56000,-0.18,-1.06,26241712000,6,5,4,15,20260320
B,KOSDAQ,376900,로킷헬스케어,130400,31.72,116.61,100883960000,7,2,5,14,20260320
B,KOSPI,475150,SK이터닉스,59900,52.22,110.92,627431295400,5,3,4,12,20260320
A,KOSDAQ,003380,하림지주,17700,14.94,6.37,175827304200,8,3,5,16,20260320
A,KOSDAQ,131970,두산테스나,102400,49.27,56.34,98919014400,7,3,5,15,20260320
B,KOSDAQ,078600,대주전자재료,126200,15.04,33.26,73186156400,7,2,5,14,20260320
B,KOSPI,120110,코오롱인더,70100,-6.53,10.92,16761470800,6,3,3,12,20260320
B,KOSDAQ,140860,파크시스템스,273000,2.63,0.37,17068233000,4,5,3,12,20260320
A,KOSPI,395400,SK리츠,6310,5.52,12.68,5527225570,8,4,5,17,20260320
B,KOSPI,001120,LX인터내셔널,47150,8.89,-1.46,17073439350,7,4,3,14,20260320
A,KOSPI,161890,한국콜마,76700,6.97,4.07,45530193800,8,4,5,17,20260320
A,KOSDAQ,417200,LS머트리얼즈,25300,10.72,53.24,313957136900,8,3,4,15,20260320
A,KOSPI,012630,HDC,28050,14.72,22.49,13152308400,8,4,5,17,20260320
B,KOSPI,100090,SK오션플랜트,25550,32.8,36.12,328099175250,7,3,4,14,20260320
A,KOSPI,294870,HDC현대산업개발,24100,9.55,2.55,22340410800,8,5,4,17,20260320
B,KOSPI,001800,오리온홀딩스,24850,3.11,0.2,3591073500,6,4,3,13,20260320
A,KOSPI,007810,코리아써키트,64600,25.68,11.57,33854276000,7,4,5,16,20260320
A,KOSPI,082640,동양생명,9100,13.33,24.32,5302570000,7,3,5,15,20260320
A,KOSDAQ,032500,케이엠더블유,32950,24.81,59.56,55646124750,7,3,5,15,20260320
A,KOSPI,000210,DL,64900,41.55,32.18,57341421500,7,3,5,15,20260320
B,KOSPI,004000,롯데정밀화학,52700,2.53,6.9,5024154500,5,3,4,12,20260320
B,KOSDAQ,131290,티에스이,121800,14.58,27.81,5746767600,6,2,5,13,20260320
B,KOSDAQ,183300,코미코,120300,9.17,5.34,12669153900,6,3,5,14,20260320
B,KOSPI,001510,SK증권,2585,45.14,63.71,1198182591375,6,3,4,13,20260320
A,KOSDAQ,213420,덕산네오룩스,47950,9.23,13.49,18767630000,8,4,5,17,20260320
A,KOSDAQ,044490,태웅,57300,17.06,73.11,220194502800,7,3,5,15,20260320
A,KOSPI,100840,SNT에너지,53300,18.31,9.67,119298511800,7,4,5,16,20260320
A,KOSPI,003160,디아이,38750,21.09,6.02,24297606250,7,4,5,16,20260320
A,KOSPI,006120,SK디스커버리,62600,10.6,5.92,8031329600,8,5,4,17,20260320
A,KOSPI,281820,케이씨텍,49550,10.6,3.88,8014316100,6,5,5,16,20260320
B,KOSPI,071055,한국금융지주우,172000,6.24,-5.81,48780748000,5,5,3,13,20260320
B,KOSDAQ,420770,기가비스,78700,8.85,30.3,5304930900,6,2,5,13,20260320
B,KOSDAQ,014620,성광벤드,37200,5.08,-7.0,43837930800,5,4,3,12,20260320
B,KOSPI,009450,경동나비엔,66300,9.23,-1.63,4939416300,6,4,2,12,20260320
A,KOSDAQ,023160,태광,35700,16.48,14.06,67168479000,7,4,5,16,20260320
B,KOSPI,005090,SGC에너지,62500,-1.26,35.72,24059187500,8,2,3,13,20260320
A,KOSPI,456040,OCI,97800,13.19,12.54,9842885400,8,3,5,16,20260320
B,KOSPI,079900,전진건설로봇,57600,1.95,-4.64,9371808000,6,4,3,13,20260320
B,KOSPI,003030,세아제강지주,201000,33.11,35.26,25783275000,7,3,4,14,20260320
A,KOSDAQ,425420,티에프이,67500,21.62,48.51,31643865000,7,3,5,15,20260320
B,KOSDAQ,050890,쏠리드,13120,2.9,38.98,298803657280,6,3,4,13,20260320
B,KOSDAQ,475960,토모큐브,59300,8.61,7.23,9587327500,5,4,3,12,20260320
B,KOSDAQ,356860,티엘비,78100,35.83,31.93,39814442800,6,3,5,14,20260320
A,KOSPI,017940,E1,110800,15.42,3.17,9045268800,7,4,4,15,20260320
A,KOSPI,090460,비에이치,22150,19.92,8.85,27407191750,7,4,5,16,20260320
A,KOSDAQ,389650,넥스트바이오메디컬,79300,9.83,7.31,10992328100,8,5,4,17,20260320
B,KOSDAQ,200710,에이디테크놀로지,47700,-0.31,11.45,8443329300,5,4,3,12,20260320
B,KOSDAQ,006910,보성파워텍,12850,10.59,31.66,278414871950,8,3,3,14,20260320
A,KOSPI,105840,우진,31200,10.44,18.18,229743040800,8,4,5,17,20260320
B,KOSPI,004690,삼천리,154400,10.52,-0.58,5954590400,6,4,4,14,20260320
A,KOSDAQ,327260,RF머트리얼즈,73900,7.41,91.95,60138268100,8,3,5,16,20260320
A,KOSDAQ,122640,예스티,28800,11.84,20.5,22281033600,8,4,5,17,20260320
B,KOSPI,020000,한섬,26800,13.8,27.62,4822820800,7,3,4,14,20260320
A,KOSPI,009410,태영건설,2010,9.72,14.46,6464346930,8,5,5,18,20260320
B,KOSPI,016380,KG스틸,5920,4.41,-1.82,3370321120,6,4,2,12,20260320
B,KOSPI,003000,부광약품,5990,-1.64,9.31,12036893020,6,3,4,13,20260320
A,KOSPI,014830,유니드,85900,2.26,6.05,4258836100,7,4,4,15,20260320
B,KOSDAQ,079370,제우스,17500,0.4,-1.19,9744245000,5,4,3,12,20260320
B,KOSPI,009155,삼성전기우,183800,11.19,23.52,8673338200,6,3,4,13,20260320
A,KOSDAQ,098070,한텍,47900,13.11,25.39,25249527000,8,3,5,16,20260320
B,KOSDAQ,215600,신라젠,3590,5.12,-2.58,10310839000,7,4,3,14,20260320
A,KOSDAQ,215200,메가스터디교육,47700,7.19,0.74,3413412000,7,4,4,15,20260320
A,KOSDAQ,033640,네패스,21050,23.03,14.09,26089201600,7,4,5,16,20260320
B,KOSDAQ,194480,데브시스터즈,40000,1.52,4.99,5167600000,4,5,3,12,20260320
A,KOSDAQ,441270,파인엠텍,11560,4.9,7.74,21764613120,8,4,4,16,20260320
A,KOSDAQ,091700,파트론,8400,-2.1,8.81,5674846800,7,4,5,16,20260320
A,KOSDAQ,046120,오르비텍,13700,61.56,118.5,245053133000,7,3,5,15,20260320
B,KOSDAQ,013030,하이록코리아,38000,1.6,8.11,5295452000,6,4,3,13,20260320
A,KOSDAQ,394280,오픈엣지테크놀로지,16900,11.48,-0.29,10609228500,7,4,5,16,20260320
A,KOSPI,126720,수산인더스트리,30700,4.78,12.45,6715563600,8,4,5,17,20260320
B,KOSDAQ,290550,디케이티,21800,17.58,101.85,33825010800,6,2,5,13,20260320
A,KOSPI,306200,세아제강,147900,6.86,12.47,5776530300,8,5,5,18,20260320
A,KOSDAQ,389260,대명에너지,23350,15.88,13.35,39064293150,7,4,4,15,20260320
B,KOSDAQ,078350,한양디지텍,27200,7.94,6.88,5541048000,6,3,3,12,20260320
B,KOSDAQ,033160,엠케이전자,18070,26.36,75.44,46493441410,6,3,4,13,20260320
B,KOSDAQ,018000,유니슨,1682,42.54,47.41,64857724888,7,3,4,14,20260320
B,KOSDAQ,089980,상아프론테크,25750,12.45,8.88,6385768250,6,4,3,13,20260320
B,KOSDAQ,226590,엠디바이스,36200,38.17,70.75,21657808400,5,3,4,12,20260320
A,KOSDAQ,200470,에이팩트,8650,12.78,7.59,18813602950,8,3,4,15,20260320
B,KOSDAQ,170920,엘티씨,34000,54.9,19.72,12331800000,5,4,5,14,20260320
A,KOSPI,001230,동국홀딩스,11250,9.01,30.21,5507358750,8,3,5,16,20260320
B,KOSPI,078520,에이블씨엔씨,12840,17.05,8.72,4055231520,6,4,4,14,20260320
B,KOSDAQ,151860,KG에코솔루션,6940,12.85,-0.14,4965125840,6,4,2,12,20260320
A,KOSPI,092790,넥스틸,12570,6.8,6.98,6791558430,8,4,5,17,20260320
B,KOSPI,003920,남양유업,54000,-3.4,4.65,3327156000,7,5,2,14,20260320
B,KOSDAQ,051370,인터플렉스,13750,3.7,6.18,3819365000,7,3,4,14,20260320
B,KOSPI,005680,삼영전자,15770,23.98,29.79,3129950750,6,3,4,13,20260320
A,KOSDAQ,042370,비츠로테크,11980,9.61,7.25,43214783120,7,4,4,15,20260320
B,KOSDAQ,314130,지놈앤컴퍼니,8960,3.94,21.9,4983498240,7,3,2,12,20260320
B,KOSDAQ,322310,오로스테크놀로지,33050,0.15,25.43,8488066250,6,2,4,12,20260320
A,KOSPI,005010,휴스틸,5500,10.11,22.63,13940536500,8,4,5,17,20260320
A,KOSDAQ,330860,네패스아크,25000,38.05,17.37,39279950000,7,4,5,16,20260320
A,KOSPI,003070,코오롱글로벌,11970,16.44,18.28,8676741780,7,4,5,16,20260320
A,KOSPI,053690,한미글로벌,27200,33.66,31.4,87260864000,7,3,5,15,20260320
A,KOSDAQ,321550,티움바이오,10070,31.63,61.64,17824846580,7,3,5,15,20260320
B,KOSDAQ,272110,케이엔제이,36400,-4.59,3.26,9935343600,5,4,3,12,20260320
B,KOSDAQ,457550,우진엔텍,30450,6.65,5.36,25183215750,6,3,3,12,20260320
A,KOSPI,013580,계룡건설,29400,12.86,6.72,18769489200,8,5,5,18,20260320
A,KOSPI,001790,대한제당,2915,5.81,2.28,4305761075,8,5,3,16,20260320
A,KOSDAQ,160980,싸이맥스,23650,14.53,10.51,7604562900,6,5,5,16,20260320
A,KOSDAQ,388050,지투파워,13500,12.97,36.64,120109068000,8,3,5,16,20260320
A,KOSDAQ,091580,상신이디피,18500,17.09,11.78,7324242500,7,4,5,16,20260320
B,KOSPI,016880,웅진,3040,41.72,29.64,6442152160,7,3,4,14,20260320
A,KOSDAQ,100120,뷰웍스,26450,0.19,-1.86,6629930550,6,5,4,15,20260320
A,KOSPI,005960,동부건설,10270,33.72,18.59,13997773790,7,4,5,16,20260320
A,KOSDAQ,297090,씨에스베어링,8620,16.33,23.32,26163156780,7,4,4,15,20260320
A,KOSDAQ,036190,금화피에스시,38800,11.49,8.99,3772718000,8,5,4,17,20260320
B,KOSDAQ,425040,티이엠씨,10880,14.29,7.3,21677105280,6,4,4,14,20260320
A,KOSPI,001250,GS글로벌,2750,10.0,6.8,12242711250,8,5,5,18,20260320
B,KOSDAQ,064290,인텍플러스,17180,13.7,-0.64,10035473660,5,4,4,13,20260320
A,KOSDAQ,069540,빛과전자,2190,54.66,101.1,108980118090,7,3,5,15,20260320
A,KOSDAQ,104480,티케이케미칼,2325,24.66,22.76,12916205025,7,5,5,17,20260320
B,KOSDAQ,389030,지니너스,6270,18.3,101.28,3488402280,6,2,4,12,20260320
A,KOSPI,002990,금호건설,5630,11.71,7.85,8782214480,8,4,5,17,20260320
A,KOSDAQ,106190,하이텍팜,19340,22.17,21.56,13976147700,7,4,5,16,20260320
A,KOSPI,004960,한신공영,17730,37.87,35.34,19642783320,7,3,5,15,20260320
A,KOSDAQ,039560,다산네트웍스,4990,12.51,26.33,28010277180,8,3,5,16,20260320
B,KOSDAQ,282720,금양그린파워,16570,9.23,27.27,26308139290,7,3,4,14,20260320
B,KOSDAQ,417500,제이아이테크,5910,21.73,62.36,8159322360,6,3,4,13,20260320
B,KOSPI,008970,KBI동양철관,1864,8.12,0.0,8293405728,7,3,4,14,20260320
B,KOSDAQ,365330,에스와이스틸텍,3710,9.12,-6.08,5316352090,5,4,3,12,20260320
B,KOSDAQ,054620,APS,9500,6.03,73.04,6700312000,7,2,5,14,20260320
B,KOSDAQ,453450,그리드위즈,21800,15.22,20.38,34212680200,5,4,4,13,20260320
B,KOSPI,011700,한신기계,5260,6.37,5.62,21630435000,6,3,3,12,20260320
A,KOSDAQ,005160,동국산업,3145,10.54,7.89,3115974795,8,4,3,15,20260320
B,KOSDAQ,259630,엠플러스,13500,6.97,1.81,3425274000,7,3,3,13,20260320
A,KOSDAQ,021320,KCC건설,7590,18.41,6.45,4167585510,7,4,4,15,20260320
A,KOSPI,003480,한진중공업홀딩스,5300,11.58,0.76,4752430500,7,5,3,15,20260320
B,KOSDAQ,041440,현대에버다임,8620,2.25,-4.01,3056195140,7,4,2,13,20260320
A,KOSDAQ,382800,지앤비에스 에코,4680,30.36,21.09,10473077160,7,4,4,15,20260320
A,KOSPI,004150,한솔홀딩스,3575,9.49,2.14,5398700450,7,5,3,15,20260320
A,KOSDAQ,100130,동국S&C,2545,20.9,20.9,14737547825,7,4,4,15,20260320
B,KOSPI,004140,동방,2930,11.2,9.74,7811561660,5,4,3,12,20260320
A,KOSDAQ,086670,비엠티,14140,3.21,4.9,3147860940,8,4,4,16,20260320
A,KOSDAQ,096350,대창솔루션,3730,54.13,66.52,21534222500,7,3,5,15,20260320
B,KOSDAQ,396270,넥스트칩,4055,20.68,16.19,13537666160,7,4,3,14,20260320
A,KOSDAQ,024880,케이피에프,6590,5.61,5.95,3493596240,8,4,4,16,20260320
A,KOSDAQ,036010,아비코전자,9390,18.71,6.7,4032629400,7,4,4,15,20260320
A,KOSDAQ,026150,특수건설,7010,5.41,-0.71,3754738260,7,5,4,16,20260320
A,KOSDAQ,046970,우리로,2710,75.86,88.46,43890815830,7,3,5,15,20260320
B,KOSDAQ,340360,다보링크,2215,20.64,51.3,5047083495,6,3,4,13,20260320
B,KOSPI,013360,일성건설,2040,15.12,0.74,3841101720,6,4,3,13,20260320
B,KOSDAQ,261780,차백신연구소,4080,29.94,54.84,145445810640,5,3,4,12,20260320
B,KOSDAQ,214270,FSN,2470,8.1,20.19,7300030660,6,4,4,14,20260320
