차트등급,시장,종목코드,종목명,현재가,5일변화율(%),20일변화율(%),거래대금(원),차트점수,20일선위,60일선위,거래량증가,고점근접,양봉마감,상단압박,기준일자
A,KOSDAQ,178320,서진시스템,48000,4.58,20.15,238945104000,10,True,True,True,True,True,True,20260320
B,KOSPI,112610,씨에스윈드,66100,19.31,31.15,77851059700,7,True,True,True,False,False,True,20260320
B,KOSPI,139480,이마트,100700,7.47,-9.69,40205784100,7,True,True,True,False,True,False,20260320
B,KOSPI,336260,두산퓨얼셀,41900,-9.01,14.17,106926495500,8,True,True,True,False,False,True,20260320
A,KOSPI,006360,GS건설,31800,38.26,42.28,302792890200,9,True,True,True,True,True,True,20260320
A,KOSPI,375500,DL이앤씨,67400,37.41,34.26,217024360400,9,True,True,True,True,True,True,20260320
A,KOSPI,017960,한국카본,49800,6.98,35.51,19865120400,9,True,True,False,True,True,True,20260320
A,KOSPI,097230,HJ중공업,28450,5.76,11.57,113775305400,10,True,True,True,True,True,True,20260320
B,KOSDAQ,319660,피에스케이,86400,34.79,37.58,37386489600,8,True,True,False,True,True,True,20260320
B,KOSPI,018670,SK가스,260000,11.11,9.94,23285080000,7,True,True,True,False,False,False,20260320
B,KOSDAQ,031980,피에스케이홀딩스,111400,8.37,24.47,20893292800,7,True,True,False,False,True,False,20260320
A,KOSDAQ,222800,심텍,62500,20.42,21.36,68298562500,9,True,True,True,True,True,True,20260320
B,KOSPI,007340,DN오토모티브,39750,44.02,27.4,14443520250,8,True,True,False,True,True,True,20260320
B,KOSDAQ,458870,씨어스테크놀로지,182900,13.89,22.1,60750417900,7,True,True,True,False,False,True,20260320
B,KOSPI,192820,코스맥스,196100,10.67,-1.95,59793047100,8,True,True,True,False,True,True,20260320
A,KOSDAQ,376900,로킷헬스케어,130400,31.72,116.61,100883960000,9,True,True,True,True,True,True,20260320
B,KOSPI,475150,SK이터닉스,59900,52.22,110.92,627431295400,7,True,True,True,False,False,True,20260320
A,KOSDAQ,003380,하림지주,17700,14.94,6.37,175827304200,9,True,True,True,True,True,True,20260320
A,KOSDAQ,131970,두산테스나,102400,49.27,56.34,98919014400,9,True,True,True,True,True,True,20260320
B,KOSDAQ,078600,대주전자재료,126200,15.04,33.26,73186156400,8,True,True,False,True,True,True,20260320
B,KOSDAQ,038500,삼표시멘트,17370,-4.56,23.37,38135053350,7,True,True,False,False,True,False,20260320
B,KOSPI,001120,LX인터내셔널,47150,8.89,-1.46,17073439350,7,True,True,True,False,True,False,20260320
A,KOSPI,161890,한국콜마,76700,6.97,4.07,45530193800,9,True,True,True,True,True,True,20260320
A,KOSDAQ,417200,LS머트리얼즈,25300,10.72,53.24,313957136900,9,True,True,True,False,True,True,20260320
B,KOSPI,003530,한화투자증권,7920,10.77,-17.15,129516282720,7,True,True,True,False,True,False,20260320
B,KOSPI,012630,HDC,28050,14.72,22.49,13152308400,8,True,True,True,False,True,True,20260320
B,KOSDAQ,115180,큐리언트,44950,-9.92,35.8,45819917350,7,True,True,True,False,False,False,20260320
A,KOSPI,100090,SK오션플랜트,25550,32.8,36.12,328099175250,9,True,True,True,True,True,True,20260320
B,KOSPI,294870,HDC현대산업개발,24100,9.55,2.55,22340410800,8,True,True,True,True,True,False,20260320
A,KOSPI,007810,코리아써키트,64600,25.68,11.57,33854276000,9,True,True,True,True,True,True,20260320
B,KOSPI,322000,HD현대에너지솔루션,131000,7.29,46.21,315121286000,7,True,True,False,False,False,True,20260320
A,KOSDAQ,032500,케이엠더블유,32950,24.81,59.56,55646124750,9,True,True,True,True,True,True,20260320
A,KOSPI,000210,DL,64900,41.55,32.18,57341421500,9,True,True,True,True,True,True,20260320
B,KOSDAQ,183300,코미코,120300,9.17,5.34,12669153900,8,True,True,False,True,False,True,20260320
A,KOSDAQ,213420,덕산네오룩스,47950,9.23,13.49,18767630000,10,True,True,True,True,True,True,20260320
A,KOSDAQ,044490,태웅,57300,17.06,73.11,220194502800,9,True,True,True,True,True,True,20260320
A,KOSPI,100840,SNT에너지,53300,18.31,9.67,119298511800,9,True,True,True,True,True,True,20260320
B,KOSPI,003160,디아이,38750,21.09,6.02,24297606250,8,True,True,False,True,True,True,20260320
B,KOSPI,071055,한국금융지주우,172000,6.24,-5.81,48780748000,7,True,True,True,False,True,False,20260320
B,KOSDAQ,126340,비나텍,143700,-5.02,24.96,11818750200,7,True,True,False,False,True,False,20260320
B,KOSDAQ,014620,성광벤드,37200,5.08,-7.0,43837930800,7,True,True,True,False,True,False,20260320
A,KOSDAQ,023160,태광,35700,16.48,14.06,67168479000,9,True,True,True,True,True,True,20260320
B,KOSPI,005090,SGC에너지,62500,-1.26,35.72,24059187500,8,True,True,True,False,True,False,20260320
B,KOSDAQ,253590,네오셈,19100,-3.09,13.96,26313306000,7,True,True,False,False,True,False,20260320
B,KOSPI,003030,세아제강지주,201000,33.11,35.26,25783275000,8,True,True,True,False,True,True,20260320
A,KOSDAQ,425420,티에프이,67500,21.62,48.51,31643865000,9,True,True,True,True,True,True,20260320
B,KOSDAQ,050890,쏠리드,13120,2.9,38.98,298803657280,8,True,True,True,False,False,True,20260320
B,KOSDAQ,356860,티엘비,78100,35.83,31.93,39814442800,8,True,True,True,True,False,True,20260320
B,KOSDAQ,015750,성우하이텍,9490,-10.3,10.74,11709521200,7,True,True,False,False,True,False,20260320
A,KOSPI,090460,비에이치,22150,19.92,8.85,27407191750,9,True,True,True,True,True,True,20260320
B,KOSDAQ,448900,한국피아이엠,120700,0.58,50.5,19093050200,7,True,True,False,False,True,False,20260320
A,KOSDAQ,389650,넥스트바이오메디컬,79300,9.83,7.31,10992328100,10,True,True,True,True,True,True,20260320
B,KOSDAQ,006910,보성파워텍,12850,10.59,31.66,278414871950,8,True,True,True,False,True,False,20260320
A,KOSPI,105840,우진,31200,10.44,18.18,229743040800,10,True,True,True,True,True,True,20260320
A,KOSDAQ,327260,RF머트리얼즈,73900,7.41,91.95,60138268100,10,True,True,True,True,True,True,20260320
A,KOSDAQ,122640,예스티,28800,11.84,20.5,22281033600,10,True,True,True,True,True,True,20260320
B,KOSPI,003000,부광약품,5990,-1.64,9.31,12036893020,7,True,True,False,False,False,True,20260320
B,KOSDAQ,234340,헥토파이낸셜,40000,2.96,50.94,31437120000,7,True,True,False,False,True,False,20260320
A,KOSDAQ,098070,한텍,47900,13.11,25.39,25249527000,9,True,True,True,True,True,True,20260320
B,KOSDAQ,215600,신라젠,3590,5.12,-2.58,10310839000,8,True,True,True,False,True,True,20260320
A,KOSDAQ,033640,네패스,21050,23.03,14.09,26089201600,9,True,True,True,True,True,True,20260320
A,KOSDAQ,441270,파인엠텍,11560,4.9,7.74,21764613120,10,True,True,True,True,True,True,20260320
A,KOSDAQ,046120,오르비텍,13700,61.56,118.5,245053133000,9,True,True,True,True,True,True,20260320
A,KOSDAQ,394280,오픈엣지테크놀로지,16900,11.48,-0.29,10609228500,9,True,True,True,True,True,True,20260320
B,KOSDAQ,290550,디케이티,21800,17.58,101.85,33825010800,7,True,True,False,False,True,True,20260320
B,KOSDAQ,389260,대명에너지,23350,15.88,13.35,39064293150,8,True,True,True,False,True,True,20260320
B,KOSDAQ,033160,엠케이전자,18070,26.36,75.44,46493441410,8,True,True,True,False,True,True,20260320
B,KOSDAQ,138080,오이솔루션,33900,-5.44,85.35,30969582300,7,True,True,False,False,True,False,20260320
B,KOSDAQ,200470,에이팩트,8650,12.78,7.59,18813602950,8,True,True,True,False,True,True,20260320
B,KOSDAQ,230240,에치에프알,27000,-5.43,53.58,12369969000,7,True,True,False,False,True,False,20260320
B,KOSDAQ,073490,이노와이어리스,42350,-3.86,18.79,10105895800,7,True,True,False,False,True,False,20260320
A,KOSDAQ,042370,비츠로테크,11980,9.61,7.25,43214783120,9,True,True,True,False,True,True,20260320
A,KOSPI,005010,휴스틸,5500,10.11,22.63,13940536500,10,True,True,True,True,True,True,20260320
B,KOSPI,117580,대성에너지,11140,5.19,33.57,63004264060,7,True,True,False,False,True,False,20260320
