차트등급,시장,종목코드,종목명,현재가,5일변화율(%),20일변화율(%),거래대금(원),차트점수,20일선위,60일선위,거래량증가,고점근접,양봉마감,상단압박,기준일자
B,KOSDAQ,338840,와이바이오로직스,35600,35.1,45.31,10327275200,7,True,True,False,False,True,True,20260319
B,KOSDAQ,234340,헥토파이낸셜,38550,3.63,46.58,27469920450,7,True,True,False,False,True,False,20260319
B,KOSPI,006110,삼아알미늄,34500,9.52,16.16,15121764000,7,True,True,True,False,False,False,20260319
B,KOSPI,006340,대원전선,6520,11.07,72.94,113193739560,7,True,True,False,False,True,False,20260319
B,KOSDAQ,393890,더블유씨피,15100,43.95,69.09,68137511800,8,True,True,True,False,True,True,20260319
B,KOSDAQ,327260,RF머트리얼즈,60500,-6.06,53.55,51690474000,8,True,True,True,False,True,False,20260319
A,KOSDAQ,098070,한텍,44600,12.63,21.2,20093638000,9,True,True,True,True,True,True,20260319
B,KOSDAQ,019210,와이지-원,12810,8.56,38.34,40202634990,8,True,True,True,False,True,False,20260319
A,KOSDAQ,080580,오킨스전자,20850,9.74,38.17,30775788450,9,True,True,True,False,True,True,20260319
B,KOSPI,025860,남해화학,8520,-2.41,17.19,45335857200,7,True,True,True,False,False,False,20260319
B,KOSDAQ,092870,엑시콘,31750,6.19,14.83,14497589750,7,True,True,False,False,True,False,20260319
B,KOSDAQ,089980,상아프론테크,25700,14.99,14.48,12973025900,7,True,True,True,False,True,False,20260319
A,KOSDAQ,033160,엠케이전자,17710,31.67,78.53,129114507060,9,True,True,True,True,True,True,20260319
B,KOSDAQ,226590,엠디바이스,36250,34.26,60.75,69931035000,7,True,True,True,False,False,True,20260319
B,KOSDAQ,046120,오르비텍,10980,34.56,76.81,155301141960,8,True,True,True,False,True,True,20260319
A,KOSDAQ,170920,엘티씨,34100,42.08,28.2,25514233800,9,True,True,True,True,True,True,20260319
B,KOSPI,035510,신세계 I&C,23200,44.1,28.53,32832129600,7,True,True,True,False,True,False,20260319
B,KOSPI,117580,대성에너지,10890,-4.05,33.95,134468837910,7,True,True,True,False,False,False,20260319
