등급,시장,종목코드,종목명,현재가,5일변화율(%),20일변화율(%),거래대금(원),추세점수,매집점수,돌파점수,신규점수,총점,6.0신규,7.0신규,기준일자
B,KOSPI,281820,케이씨텍,47050,3.18,3.41,7129063050,3,3,3,5,14,Y,Y,20260317
B,KOSPI,005690,파미셀,16100,8.64,10.05,8376411400,3,3,3,4,13,Y,Y,20260317
B,KOSDAQ,126340,비나텍,130900,-2.39,10.65,17711424500,3,4,3,4,14,Y,Y,20260317
B,KOSDAQ,074600,원익QnC,33400,-3.05,16.58,14048841600,4,3,4,3,14,Y,Y,20260317
B,KOSDAQ,078160,메디포스트,22200,0.91,-1.77,7428253200,3,4,3,5,15,Y,Y,20260317
B,KOSDAQ,044490,태웅,42800,-14.4,41.72,15604409200,3,4,3,3,13,Y,Y,20260317
B,KOSDAQ,253590,네오셈,19150,2.57,18.21,33545878450,4,4,3,4,15,Y,Y,20260317
B,KOSDAQ,015750,성우하이텍,9600,2.24,18.08,17275344000,3,4,3,4,14,Y,Y,20260317
A,KOSPI,005880,대한해운,2370,8.22,11.79,309370037970,3,5,3,5,16,Y,Y,20260317
B,KOSDAQ,023160,태광,28850,2.67,-2.7,10422985700,2,4,3,4,13,Y,Y,20260317
B,KOSDAQ,287840,인투셀,49050,8.16,0.62,8718539400,2,4,2,5,13,Y,Y,20260317
B,KOSDAQ,365340,성일하이텍,59300,7.23,-4.35,5369970800,3,4,3,5,15,Y,Y,20260317
A,KOSDAQ,425420,티에프이,55900,9.82,20.47,18828126200,4,5,3,5,17,Y,Y,20260317
A,KOSDAQ,200710,에이디테크놀로지,48250,13.53,21.08,29596501750,4,4,4,5,17,Y,Y,20260317
B,KOSDAQ,046890,서울반도체,11000,11.22,48.05,33601953000,3,4,3,5,15,Y,Y,20260317
B,KOSDAQ,424870,이뮨온시아,8590,10.55,-3.48,5656403330,3,5,2,5,15,Y,Y,20260317
B,KOSDAQ,042520,한스바이오메드,43950,2.21,4.39,11754735150,3,3,3,4,13,Y,Y,20260317
B,KOSPI,001820,삼화콘덴서,53900,12.06,41.84,31099168100,4,3,3,5,15,Y,Y,20260317
B,KOSDAQ,077360,덕산하이메탈,12280,2.93,9.84,18471404080,3,3,3,4,13,Y,Y,20260317
B,KOSPI,105840,우진,26400,0.0,4.76,20812228800,3,4,3,3,13,Y,Y,20260317
B,KOSDAQ,234340,헥토파이낸셜,38000,-0.52,42.59,65480916000,4,3,4,3,14,Y,Y,20260317
A,KOSDAQ,122640,예스티,24550,4.91,4.25,5167063050,4,4,4,4,16,Y,Y,20260317
B,KOSPI,009155,삼성전기우,178900,10.64,43.35,7512547700,3,3,3,4,13,Y,Y,20260317
A,KOSDAQ,107640,한중엔시에스,54300,2.45,6.68,22525757700,4,5,4,5,18,Y,Y,20260317
B,KOSDAQ,059090,미코,14330,2.07,-12.89,6816437080,1,5,3,4,13,Y,Y,20260317
A,KOSDAQ,327260,RF머트리얼즈,56300,-7.4,34.69,42538872500,4,5,3,4,16,Y,Y,20260317
B,KOSDAQ,019210,와이지-원,12490,5.49,24.65,16478831380,3,4,3,4,14,Y,Y,20260317
B,KOSDAQ,065660,안트로젠,46400,-16.55,19.59,14739099200,3,5,3,4,15,Y,Y,20260317
A,KOSPI,031430,신세계인터내셔날,12750,5.46,-2.89,17111915250,3,5,4,5,17,Y,Y,20260317
B,KOSPI,006340,대원전선,5670,5.59,53.04,27472266990,3,3,3,4,13,Y,Y,20260317
B,KOSPI,025860,남해화학,8900,7.75,22.09,25677060700,4,4,3,4,15,Y,Y,20260317
A,KOSDAQ,098070,한텍,39500,11.27,5.61,7472886500,4,5,4,5,18,Y,Y,20260317
B,KOSDAQ,092870,엑시콘,30550,2.52,10.89,11414732550,3,3,3,4,13,Y,Y,20260317
B,KOSDAQ,080580,오킨스전자,18570,3.22,25.22,9451795740,4,3,3,4,14,Y,Y,20260317
A,KOSDAQ,389260,대명에너지,20250,12.81,1.86,9813858750,4,4,3,5,16,Y,Y,20260317
B,KOSDAQ,290550,디케이티,18000,2.86,53.19,12605346000,4,3,4,4,15,Y,Y,20260317
B,KOSDAQ,024060,흥구석유,22750,-12.16,56.14,114762966500,4,3,3,3,13,Y,Y,20260317
B,KOSDAQ,464080,에스오에스랩,17890,11.6,-10.46,52943630220,2,4,2,5,13,Y,Y,20260317
B,KOSDAQ,073490,이노와이어리스,40900,8.49,20.29,8823847800,3,4,3,4,14,Y,Y,20260317
A,KOSPI,000390,삼화페인트,11000,10.11,3.68,314738204000,5,5,4,5,19,Y,Y,20260317
B,KOSDAQ,226590,엠디바이스,27850,5.69,38.56,12746053800,3,3,3,4,13,Y,Y,20260317
A,KOSDAQ,322310,오로스테크놀로지,31000,11.51,22.77,12315928000,4,5,4,5,18,Y,Y,20260317
B,KOSDAQ,056090,시지메드텍,2805,0.9,55.83,10204430115,3,3,3,4,13,Y,Y,20260317
B,KOSPI,117580,대성에너지,10310,-15.84,26.97,13068636390,4,3,3,3,13,Y,Y,20260317
B,KOSDAQ,042370,비츠로테크,10820,9.4,3.74,5150687880,3,3,3,4,13,Y,Y,20260317
A,KOSDAQ,112290,와이씨켐,27700,5.93,14.94,7460967300,5,4,5,4,18,Y,Y,20260317
B,KOSDAQ,361390,제노코,28800,7.46,4.73,9885801600,4,3,3,4,14,Y,Y,20260317
A,KOSPI,005680,삼영전자,13500,13.54,12.22,5254470000,5,4,4,5,18,Y,Y,20260317
A,KOSDAQ,418550,제이오,8380,11.14,-6.99,30412545160,4,5,4,5,18,Y,Y,20260317
B,KOSDAQ,289930,웨이비스,19250,11.21,-4.23,6071892750,4,3,4,4,15,Y,Y,20260317
A,KOSDAQ,199820,제일일렉트릭,10720,11.9,-1.47,13063584960,4,4,3,5,16,Y,Y,20260317
A,KOSDAQ,091580,상신이디피,17850,11.56,14.79,25903259550,5,5,4,5,19,Y,Y,20260317
A,KOSDAQ,402490,그린리소스,14290,13.23,48.85,42178492610,4,3,4,5,16,Y,Y,20260317
